product_id,sap_product_code,web_product_code,name
76,ZROY907015,ZRC0254,Royal Canin Junior Miniature Schnauzer Dog Food
77,ZROY913075,ZRC0104,Royal Canin Poodle Adult Dog Food 7.5 KG
77,ZROY913015,ZRC0223,Royal Canin Poodle Adult Dog Food 1.5 KG
78,ZROY901030,ZRC0184,Royal Canin Junior Poodle Dog Food
79,ZROY915015,ZRC0225,Royal Canin Pug Adult Dog Food 1.5 KG
79,ZROY915030,ZRC0185,Royal Canin Pug Adult Dog Food 3 KG
80,ZROY906015,ZRC0227,Royal Canin Junior Pug Dog Food
81,ZROY927120,ZRC0048,Royal Canin Rottweiler Adult Dog Food
82,ZROY200120,ZRC0049,Royal Canin Junior Rottweiler Dog Food 12 KG
83,ZROY914075,ZRC0063,Royal Canin Shih Tzu Adult Dog Food 7.5 KG
83,ZROY914015,ZRC0226,Royal Canin Shih Tzu Adult Dog Food 1.5 KG
84,ZROY903015,ZRC0252,Royal Canin Junior Shih Tzu Dog Food
85,ZROY911075,ZRC0062,Royal Canin Yorkshire Terrier Adult Dog Food 7.5 KG
85,ZROY911015,ZRC0222,Royal Canin Yorkshire Terrier Adult Dog Food 1.5 KG
85,ZROY911030,ZRC0132,Royal Canin Yorkshire Terrier Adult Dog Food 3 KG
85,ZROY165005,ZRC0230,Royal Canin Yorkshire Terrier Adult Dog Food 500 G
86,ZROY900015,ZRC0224,Royal Canin Junior Yorkshire Terrier Dog Food 1.5 KG
86,ZROY900005,ZRC0231,Royal Canin Junior Yorkshire Terrier Dog Food 500 G
87,ZROY820010S,ZRC0276,Royal Canin Digest Sensitive Adult Wet Cat Food Single Pouch
87,ZROY820010,ZRC0338,Royal Canin Digest Sensitive Adult Wet Cat Food Box of 12 Pouches
88,ZROY820007S,ZRC0247,Royal Canin Instinctive Adult Wet Cat Food +7 Single Pouch
88,ZROY820007,ZRC0336,Royal Canin Instinctive Adult Wet Cat Food +7 Box of 12 Pouches
89,ZROY820003S,ZRC0273,Royal Canin Instinctive in Gravy Adult Wet Cat Food Single Pouch
89,ZROY820003,ZRC0332,Royal Canin Instinctive in Gravy Adult Wet Cat Food Box of 12 Pouches
90,ZROY820006S,ZRC0272,Royal Canin Intense Beauty Adult Wet Cat Food Pouch Single Pouch
90,ZROY820006,ZRC0335,Royal Canin Intense Beauty Adult Wet Cat Food Pouch Box of 12 Pouches
91,ZROY820005S,ZRC0275,Royal Canin Ultra Light 10 Adult Wet Cat Food Pouch Single Pouch
91,ZROY820005,ZRC0334,Royal Canin Ultra Light 10 Adult Wet Cat Food Pouch Box of 12 Pouches
94,ZROY820004S,ZRC0246,Royal Canin Instinctive in Jelly Adult Wet Cat Food Single Pouch
94,ZROY820004,ZRC0333,Royal Canin Instinctive in Jelly Adult Wet Cat Food Box of 12 Pouches
95,ZROY480037s,ZRC0281,Royal Canin Sterilised Adult Wet Cat Food Single Pouch
95,ZROY820012,ZRC0339,Royal Canin Sterilised Adult Wet Cat Food Box of 12 Pouches
96,ZROY820009S,ZRC0274,Royal Canin Ageing +12 Wet Cat Food Pouch Single Pouch
96,ZROY820009,ZRC0337,Royal Canin Ageing +12 Wet Cat Food Pouch Box of 12 Pouches
105,ZROY931015,ZRC0287,Royal Canin X-Small Puppy Food
106,ZROY932015,ZRC0288,Royal Canin X-Small Adult Dog Food
107,ZROY720015,ZRC0290,Royal Canin X-Small Ageing 12+ Dog Food
110,ZROY137100,ZRC0354,Royal Canin Adult Maxi Light Weight Care Dog Food 10 KG
117,NULL,,(Short Expiry) Royal Canin Giant Mother & Babydog Starter Dog Food - 4kg
118,NULL,ZRC0019,(Short Expiry) Royal Canin Great Dane Adult Dog Food
119,NULL,,(Short Expiry) Royal Canin Junior Chihuahua Dog Food
121,NULL,ZRC0276,(Short Expiry) Royal Canin Digest Sensitive Adult Wet Cat Food Single Pouch
122,NULL,ZRC0024,(Short Expiry) Royal Canin Cocker Dog Food 12 KG
123,NULL,229900,Eukanuba Adult Large Breed Dog Food 9 KG
123,NULL,229916,Eukanuba Adult Large Breed Dog Food 15 KG
124,NULL,278915,Eukanuba Adult Large Breed Dog Food - Lamb & Rice 15 KG
124,NULL,278903,Eukanuba Adult Large Breed Dog Food - Lamb & Rice 3 KG
125,NULL,145479,Eukanuba Adult Medium Breed Dog Food 3 KG
125,NULL,145900,Eukanuba Adult Medium Breed Dog Food 9 KG
125,NULL,145916,Eukanuba Adult Medium Breed Dog Food 15 KG
125,NULL,145901,Eukanuba Adult Medium Breed Dog Food 1 KG
126,NULL,147912,Eukanuba Adult Small and Medium Breed Dog Food - Lamb & Rice 12 KG
126,NULL,147903,Eukanuba Adult Small and Medium Breed Dog Food - Lamb & Rice 3 KG
127,NULL,201289,Eukanuba Adult Small Breed Dog Food 1 KG
127,NULL,201479,Eukanuba Adult Small Breed Dog Food 3 KG
127,NULL,201900,Eukanuba Adult Small Breed Dog Food 9 KG
127,NULL,201916,Eukanuba Adult Small Breed Dog Food 15 KG
128,NULL,271916,Eukanuba Adult Large Breed Weight Control Dog Food 
129,NULL,203103,Eukanuba Adult Small and Medium Breed Weight Control Dog Food 3 KG
129,NULL,203115,Eukanuba Adult Small and Medium Breed Weight Control Dog Food 15 KG
130,NULL,135916,Eukanuba Premium Performance Working and Endurance Adult Dog Food  15 KG
130,NULL,135909,Eukanuba Premium Performance Working and Endurance Adult Dog Food  9 KG
131,NULL,406201,Eukanuba Daily Care Sensitive Joints Adult Dog Food 1 KG
131,NULL,402942,Eukanuba Daily Care Sensitive Joints Adult Dog Food 12.5 KG
132,NULL,404221,Eukanuba Daily Care Sensitive Skin Adult Dog Food 2.3 KG
132,NULL,400942,Eukanuba Daily Care Sensitive Skin Adult Dog Food 12 KG
133,NULL,272030,Eukanuba Senior All Breeds Dog Food - Lamb & Rice 3 KG
133,NULL,272140,Eukanuba Senior All Breeds Dog Food - Lamb & Rice 14 KG
134,NULL,274916,Eukanuba Senior Large Breed Dog Food
135,NULL,273003,Eukanuba Senior Medium Breed Dog Food 3 KG
135,NULL,273015,Eukanuba Senior Medium Breed Dog Food 15 KG
136,NULL,272003,Eukanuba Senior Small Breed Dog Food
137,NULL,202479,Eukanuba Large Breed Puppy Food 3 KG
137,NULL,202900,Eukanuba Large Breed Puppy Food 9 KG
137,NULL,202916,Eukanuba Large Breed Puppy Food 15 KG
138,NULL,206289,Eukanuba Medium Breed Puppy Food 1 KG
138,NULL,206479,Eukanuba Medium Breed Puppy Food 3 KG
138,NULL,206900,Eukanuba Medium Breed Puppy Food 9 KG
138,NULL,206916,Eukanuba Medium Breed Puppy Food 15 KG
139,NULL,148755,Eukanuba Small Breed Puppy Food 7.5 KG
139,NULL,148289,Eukanuba Small Breed Puppy Food 1 KG
139,NULL,148479,Eukanuba Small Breed Puppy Food 3 KG
139,NULL,148915,Eukanuba Small Breed Puppy Food 15 KG
140,NULL,147103,Eukanuba Small and Medium Breed Puppy Food - Lamb & Rice 3 KG
140,NULL,147112,Eukanuba Small and Medium Breed Puppy Food - Lamb & Rice 12 KG
140,NULL,147101,Eukanuba Small and Medium Breed Puppy Food - Lamb & Rice 1 KG
126,NULL,147289,Eukanuba Adult Small and Medium Breed Dog Food - Lamb & Rice 1 KG
126,NULL,147912,Eukanuba Adult Small and Medium Breed Dog Food - Lamb & Rice 12 KG
126,NULL,147903,Eukanuba Adult Small and Medium Breed Dog Food - Lamb & Rice 3 KG
126,NULL,147289,Eukanuba Adult Small and Medium Breed Dog Food - Lamb & Rice 1 KG
126,NULL,147912,Eukanuba Adult Small and Medium Breed Dog Food - Lamb & Rice 12 KG
126,NULL,147903,Eukanuba Adult Small and Medium Breed Dog Food - Lamb & Rice 3 KG
141,NULL,121957,Eukanuba Dermatosis F.P. Dog Food 5 KG
141,NULL,121912,Eukanuba Dermatosis F.P. Dog Food 12 KG
141,NULL,121901,Eukanuba Dermatosis F.P. Dog Food 1 KG
142,NULL,356241,Eukanuba Restricted Calorie Biscuits
158,NULL,326400,Iams Kitten Chicken Wet Cat Food Healthy Pouch Multi Pack
158,NULL,326100,Iams Kitten Chicken Wet Cat Food Healthy Pouch 1 Pack
159,NULL,328100,Iams Mature & Senior Chicken Wet Cat Food Healthy Pouch 1 Pack
160,NULL,356100,Iams Adult Chicken Wet Cat Food Healthy Pouch
161,NULL,366100,Iams Adult Ocean Fish Wet Cat Food Healthy Pouch
162,NULL,376100,Iams Adult Salmon Wet Cat Food Healthy Pouch
163,NULL,386100,Iams Adult Tuna in Jelly Wet Cat Food Healthy Pouch
187,NULL,zrc0014,Royal Canin Hepatic Adult Dog Food 12 KG
187,NULL,zrc0174,Royal Canin Hepatic Adult Dog Food 1.5 KG
189,NULL,ZRC0103,Royal Canin Gastro Intestinal Moderate Calorie GIM 23 Adult Dog Food 7.5 KG
189,NULL,ZRC0151,Royal Canin Gastro Intestinal Moderate Calorie GIM 23 Adult Dog Food 2 KG
189,NULL,ZRC0011,Royal Canin Gastro Intestinal Moderate Calorie GIM 23 Adult Dog Food 14 KG
191,NULL,ZRC0176,Royal Canin Gastro Intestinal Low Fat LF 22 Adult Dog Food 1.5 KG
191,NULL,ZRC0044,Royal Canin Gastro Intestinal Low Fat LF 22 Adult Dog Food 12 KG
192,NULL,ZRC0187,Royal Canin Gastro Intestinal Junior Dog Food 2.5 KG
192,NULL,ZRC0283,Royal Canin Gastro Intestinal Junior Dog Food 1 KG
192,NULL,ZRC0054,Royal Canin Gastro Intestinal Junior Dog Food 10 KG
193,NULL,ZRC0101,Royal Canin Gastro Intestinal Adult Dog Food 7.5 KG
193,NULL,ZRC0148,Royal Canin Gastro Intestinal Adult Dog Food 2 KG
193,NULL,ZRC0037,Royal Canin Gastro Intestinal Adult Dog Food 14 KG
194,NULL,ZRC0102,Royal Canin Fibre Response Adult Dog Food 7.5 KG
194,NULL,ZRC0194,Royal Canin Fibre Response Adult Dog Food 2 KG
194,NULL,ZRC0040,Royal Canin Fibre Response Adult Dog Food 14 KG
195,NULL,zrc0147,Royal Canin Cardiac Adult Dog Food 2 KG
197,NULL,zrc0134,Royal Canin Anallergenic Adult Dog Food 3 KG
197,NULL,zrc0282,Royal Canin Anallergenic Adult Dog Food 8 KG
198,NULL,ZRC0216,Royal Canin Diabetic DS37 Adult Dog Food 1.5 KG
198,NULL,ZRC0015,Royal Canin Diabetic DS37 Adult Dog Food 12 KG
198,NULL,ZRC0067,Royal Canin Diabetic DS37 Adult Dog Food 7 KG
201,NULL,ZRC0061,Royal Canin Urinary U/C Low Purine Adult Dog Food 7.5 KG
201,NULL,ZRC0195,Royal Canin Urinary U/C Low Purine Adult Dog Food 2 KG
201,NULL,ZRC0012,Royal Canin Urinary U/C Low Purine Adult Dog Food 14 KG
202,NULL,zrc0191,Royal Canin Hypoallergenic DR 21 Adult Dog Food 2 KG
202,NULL,zrc0007,Royal Canin Hypoallergenic DR 21 Adult Dog Food 14 KG
202,NULL,zrc0064,Royal Canin Hypoallergenic DR 21 Adult Dog Food 7 KG
203,NULL,ZRC0220,Royal Canin Hypoallergenic HME 23 Moderate Calorie Adult Dog Food 1.5 KG
203,NULL,ZRC0041,Royal Canin Hypoallergenic HME 23 Moderate Calorie Adult Dog Food 14 KG
203,NULL,ZRC0066,Royal Canin Hypoallergenic HME 23 Moderate Calorie Adult Dog Food 7 KG
204,NULL,ZRC0008,Royal Canin Mobility Larger Dogs Adult Dog Food 14 KG
204,NULL,ZRC0070,Royal Canin Mobility Larger Dogs Adult Dog Food 6 KG
205,NULL,ZRC0106,Royal Canin Mobility Adult Dog Food 7 KG
206,NULL,ZRC0218,Royal Canin Obesity Management Adult Dog Food 1.5 KG
