id,name,slug
95,Royal Canin Sterilised Adult Wet Cat Food,royal-canin-adult-wet-cat-food-sterilised
96,Royal Canin Ageing +12 Wet Cat Food Pouch,royal-canin-ageing-12-adult-wet-cat-food-
105,Royal Canin X-Small Puppy Food,royal-canin-xsmall-junior-dog-food
106,Royal Canin X-Small Adult Dog Food,royal-canin-xsmall-adult-dog-food
107,Royal Canin X-Small Ageing 12+ Dog Food,royal-canin-adult-12plus-ageing-dog-food
110,Royal Canin Adult Maxi Light Weight Care Dog Food,royal-canin-maxi-light-weight-care
117,(Short Expiry) Royal Canin Giant Mother & Babydog Starter Dog Food - 4kg,short-expiry-starter-giant
118,(Short Expiry) Royal Canin Great Dane Adult Dog Food,royal-canin-great-dane-dog-food-short-expiry
119,(Short Expiry) Royal Canin Junior Chihuahua Dog Food,royal-canin-chihuahua-junior-short-expiry
121,(Short Expiry) Royal Canin Digest Sensitive Adult Wet Cat Food,short-expiry-digest-sensitive-cat-food
122,(Short Expiry) Royal Canin Cocker Dog Food,short-expiry-cocker-dog-food
123,Eukanuba Adult Large Breed Dog Food,eukanuba-adult-large-breed-dog-food
124,Eukanuba Adult Large Breed Dog Food - Lamb & Rice,eukanuba-adult-large-breed-dry-dog-food-lamb-rice
125,Eukanuba Adult Medium Breed Dog Food,eukanuba-adult-medium-breed-dry-dog-food-chicken
126,Eukanuba Adult Small and Medium Breed Dog Food - Lamb & Rice,eukanuba-small-and-medium-adult-lamb-rice
127,Eukanuba Adult Small Breed Dog Food,eukanuba-adult-small-breed-dry-dog-food-chicken
128,Eukanuba Adult Large Breed Weight Control Dog Food ,eukanuba-adult-large-breed-weight-control-dog-food-chicken
129,Eukanuba Adult Small and Medium Breed Weight Control Dog Food,eukanuba-adult-small-and-medium-breed-weight-control-dog-food-chicken
130,Eukanuba Premium Performance Working and Endurance Adult Dog Food ,eukanuba-premium-performance-working-and-endurance-adult-dog-food
131,Eukanuba Daily Care Sensitive Joints Adult Dog Food,eukanuba-daily-care-sensitive-joints-adult-dog-food
132,Eukanuba Daily Care Sensitive Skin Adult Dog Food,eukanuba-sensitive-skin-daily-care-adult-dry-dog-food
133,Eukanuba Senior All Breeds Dog Food - Lamb & Rice,eukanuba-senior-all-breeds-dry-dog-food-lamb-rice
134,Eukanuba Senior Large Breed Dog Food,eukanuba-senior-large-breed-dry-dog-food-chicken
135,Eukanuba Senior Medium Breed Dog Food,eukanuba-senior-medium-breed-dry-dog-food-chicken
136,Eukanuba Senior Small Breed Dog Food,eukanuba-senior-small-breed-dry-dog-food-chicken
137,Eukanuba Large Breed Puppy Food,eukanuba-large-breed-puppy-dry-dog-food-chicken
138,Eukanuba Medium Breed Puppy Food,eukanuba-medium-breed-puppy-dry-dog-food-chicken
139,Eukanuba Small Breed Puppy Food,eukanuba-small-breed-puppy-dry-dog-food-chicken
140,Eukanuba Small and Medium Breed Puppy Food - Lamb & Rice,eukanuba-small-and-medium-breed-puppy-lamb-and-rice-dog-food
141,Eukanuba Dermatosis F.P. Dog Food,eukanuba-veterinary-diets-dermatosis-fp-dry-dog-food
142,Eukanuba Restricted Calorie Biscuits,NULL
158,Iams Kitten Chicken Wet Cat Food Healthy Pouch,iams-healthy-kitten-wet-cat-food-chicken
159,Iams Mature & Senior Chicken Wet Cat Food Healthy Pouch,iams-healthy-mature-senior-wet-cat-food-chicken
160,Iams Adult Chicken Wet Cat Food Healthy Pouch,iams-healthy-adult-wet-cat-food-chicken
161,Iams Adult Ocean Fish Wet Cat Food Healthy Pouch,iams-healthy-adult-wet-cat-food-ocean-fish
162,Iams Adult Salmon Wet Cat Food Healthy Pouch,iams-healthy-adult-wet-cat-food-salmon
163,Iams Adult Tuna in Jelly Wet Cat Food Healthy Pouch,iams-healthy-adult-wet-cat-food-tuna-in-jelly
187,Royal Canin Hepatic Adult Dog Food,royal-canin-hepatic-adult-dry-dog-food
189,Royal Canin Gastro Intestinal Moderate Calorie GIM 23 Adult Dog Food,royal-canin-gastro-intestinal-moderate-calorie-gim-adult-dry-dog-food
191,Royal Canin Gastro Intestinal Low Fat LF 22 Adult Dog Food,royal-canin-gastro-intestinal-low-fat-lf-adult-dry-dog-food
192,Royal Canin Gastro Intestinal Junior Dog Food,royal-canin-gastro-intestinal-junior-dry-adult-dry-dog-food
193,Royal Canin Gastro Intestinal Adult Dog Food,royal-canin-gastro-intestinal-gi25-adult-dry-dog-food
194,Royal Canin Fibre Response Adult Dog Food,royal-canin-fibre-response-fr23-adult-dry-dog-food
195,Royal Canin Cardiac Adult Dog Food,royal-canin-cardiac-adult-dry-dog-food
197,Royal Canin Anallergenic Adult Dog Food,royal-canin-anallergenic-adult-dry-dog-food
198,Royal Canin Diabetic DS37 Adult Dog Food,royal-canin-diabetic-ds-adult-dry-dog-food
201,Royal Canin Urinary U/C Low Purine Adult Dog Food,royal-canin-urinary-uc-low-purine-adult-dry-dog-food
202,Royal Canin Hypoallergenic DR 21 Adult Dog Food,royal-canin-hypoallergenic-dr21-adult-dry-dog-food
203,Royal Canin Hypoallergenic HME 23 Moderate Calorie Adult Dog Food,royal-canin-hypoallergenic-hme23-moderate-calorie-adult-dry-dog-food
204,Royal Canin Mobility Larger Dogs Adult Dog Food,royal-canin-mobility-larger-dogs-adult-dry-dog-food
205,Royal Canin Mobility Adult Dog Food,royal-canin-mobility-adult-dry-dog-food
206,Royal Canin Obesity Management Adult Dog Food,royal-canin-obesity-management-adult-dry-dog-food
209,Royal Canin Satiety Support Weight Management Adult Dog Food,royal-canin-satiety-support-weight-management-adult-dry-dog-food
211,Royal Canin Sensitivity Control  Adult Dog Food,royal-canin-sensitivity-control-sc21-adult-dry-dog-food
212,Royal Canin Skin Care SK 23 Adult Dog Food,royal-canin-skin-care-adult-sk23-adult-dry-dog-food
213,Royal Canin Skin Care Small Adult Dog Food,royal-canin-skin-care-adult-small-sks25-adult-dry-dog-food
214,Royal Canin Skin Care Junior Small SKJ 29 Dog Food,royal-canin-skin-care-junior-small-puppy-food
215,Royal Canin Skin Support SS 23 Adult Dog Food,royal-canin-skin-support-ss23-adult-dry-dog-food
216,Royal Canin Weight Control DS 30 Adult Dog Food,royal-canin-weight-control-ds30-adult-dry-dog-food
286,Catnip Mice Chew Toys for Cats,mcmac-catnip-chew-mice
287,Catnip Chew Ring Toys for Cats,petstages-catnip-chew-ring
288,Laser Fun Toy for Cats,petstages-laser-fun
289,Cheese Chase Toy for Cats,petstages-cheese-chase
290,Orkakat Catnip Infused Mice Toys for Cats,mcmac-orka-catnip-infused-mouse
291,Orkakat Wiggle Worm Toy for Cats,mcmac-orka-cat-wiggle-worm
292,Easy Life Scratch Hammock for Cats,petstages-easy-life-scratch-hammock
293,Green Magic Mighty Mouse Toy for Cats,petstages-green-magic-mighty-mouse
294,Fresh Breath Mint Stick Toy for Cats,petstages-fresh-breath-mint-stick
295,"Scratch, Snuggle & Rest Cat Scratcher",petstages-scratch-snuggle-rest
301,Catnip Foil Bag 40G,mcmac-catnip-foil-bag-g
311,Nature's Gift Love Bites Cat Treats Seafood or Chicken,natures-gift-love-cat-food
339,Milko-Pup Milk Replacer/Supplement For Puppies And Dogs,kyron-milko-pup-milk-replacersupplement-for-puppies-and-dogs
428,Iams Adult Fish Multipack Combo Wet Cat Food,iams-adult-fish-multipack-pouch
450,SlimCat Interactive Cat Feeder Ball,slimcat-feeder-ball
467,Royal Canin Renal Adult Dog Food,NULL
468,Royal Canin Dental Small Adult Dog Food ,NULL
527,Vets Choice Large and Giant Breed Puppy Dog Food,vets-choice-large-giant-breed-puppy-dry-food
528,Vets Choice Large and Giant Breed Adult Dog Food,vets-choice-adult-large-breed
529,Vets Choice All Breeds Adult Superior Dog Food,vets-choice-adult-superior-dry-dog-food
563,Vets Choice All Breeds Adult Lite Dog Food,vets-choice-lite-all-breed-dogs
583,Catit Senses Super Circuit Cat Playstation,catit-sense-super-circuit
586,Kong Buzzies Birds Toys for Cats ,kong-buzzies-bird-cat-toy
603,Scratch & Play 2-Tiered Cat Scratching Post,scratch-play-2-tiered-cat-scratching-post
614,Earthborn Holistic Coastal Catch Adult Dog Food,earthborn-holistic-coastal-catch-dog-food
615,Earthborn Holistic Primitive Natural Adult Dog Food,earthborn-primitive-natural-dog-food
620,Solar Flare Cat Scratching Post,solar-flare-cat-scratching-post
621,Catit Elevated Speed Circuit,NULL
624,Moon of Jupiter Cat Scratcher,moon-of-jupiter-cat-scratcher
629,Catit Illuminated Balls,NULL
636,Kunduchi Catnip Spray,kunduchi-catnip-spray
638,Maxhealth Adult Small Bites Dog Food for Small Dogs,maxhealth-small-bites-adult-dog-food-for-small-dogs
639,Maxhealth Adult Regular Bites for Medium and Large Dogs,NULL
659,Kunduchi Super Grass,kunduchi-super-grass-for-cats
672,FroliCat Bolt Cat Laser Toy,frolicat-bolt-laser-toy-for-cats
677,Cuddle Toy for Cats,petstages-cuddle-toy-for-cats
683,Crunch and Wrestle Fish Cat Toy,crunch-and-wrestle-fish-cat-toy
685,Healthy Centres Cat Treats,health-centres-cat-treats
699,Hemp Heart Cushion with Valerian Cat Toy,heart-cushion-valerian-cat-toy
702,Healthy Bites Hairball Remedy Cat Treats,healthy-bites-hairball-remedy-treats-for-cats
711,Refillable Catnip Beaver Cat Toy,gigwi-refillable-catnip-cat-toy
717,V-Playstation for Cats,vesper-v-playstation-for-cats
718,V-Box Cat Furniture - Small,vesper-vbox-cat-furniture-small
741,Melody Chaser Cat Toy,melody-chaser-cat-toy
742,Pet Droid Activity Mouse,pet-droid-activity-mouse-cat-toy
743,Go Buggy Catnip Cat Toy,go-buggy-catnip=cat=toy
744,Purple Purr Pillow Cat Toy and Friend,purr-pillow-cat-toy
745,Easy Life Hammock Cat Scratcher,easy-life-hammock-cat-scratcher
752,Natura Roll and Ball Cat Toy,natura-roll-and-ball-catnip-infused-cat-toy
753,Natura Feather Wand Cat Toy,natura-feather-wand-cat-toy
754,Natura Mouse Wand Cat Toy,natura-mouse-wand-cat-toy
755,Etna Cat Furniture and Scratcher Ball,etna-cat-furniture-and-scratcher-ball
756,Ararat Cat Furniture,ararat-cat-furniture-and-scratcher
770,Catit Fireball Motion Activated Illuminating Cat Ball,catit-fireball-illuminating-cat-ball-toy
776,Catit Food Tree for Cats,catit-food-tree
790,Scratch and Lounge Cat Scratcher,lounge-cat-scratcher
804,Squirrel Catnip Cat Toys,gigwi-squirrel-cat-toy
808,Feather Hider Pet Droid Cat Toy,feather-hider-cat-toy
819,Natura Dumbbell Cat Toys,natura-cat-dumbbell-toys
862,Sheba Wet Cat Treat,sheba-wet-cat-treat
872,Catnip Chaser Cat Toy,catnip-chaser-cat-toy
879,Royal Canin Satiety Small Breed Dog Food,royal-canin-satiety-small-dog
891,TeePee Cat Scratcher,teepee-cat-scratcher
892,Chaise Cat Scratcher,chaise-cat-scratcher
893,Catnap and Scratch Bed for Cats,catnap-and-scratch-cat-bed
916,Catit Treat Spinner for Cats,catit-treat-spinner
925,(Short Expiry) Vets Choice All Breeds Adult Lite Dog Food,short-expiry-vets-choice-lite
985,(Short Expiry) Royal Canin Cardiac Adult Dog Food,short-expiry-cardiac-canine
988,Kitty Crunch Cat Treats,kitty-crunch-cat-treats
